t;x;y;frame;Feeder;Cooments
1,211211211E1;-1,592410353E1;2,015133802E0;3,630000000E2;OUT;
1,214547881E1;-1,592410353E1;2,015133802E0;3,640000000E2;OUT;
1,217884551E1;-1,592410353E1;2,015133802E0;3,650000000E2;OUT;
1,221221221E1;-1,506284267E1;1,761821784E0;3,660000000E2;OUT;
1,224557891E1;-1,359363296E1;2,217783416E0;3,670000000E2;OUT;
1,227894561E1;-1,202309846E1;2,471095433E0;3,680000000E2;OUT;
1,231231231E1;-1,095918798E1;2,521757837E0;3,690000000E2;OUT;
1,234567901E1;-9,793952703E0;2,825732258E0;3,700000000E2;OUT;
1,237904571E1;-9,844615106E0;2,825732258E0;3,710000000E2;OUT;
1,241241241E1;-9,844615106E0;2,876394661E0;3,720000000E2;OUT;
1,244577911E1;-9,641965492E0;3,028381872E0;3,730000000E2;OUT;
1,247914581E1;-9,641965492E0;3,028381872E0;3,740000000E2;OUT;
1,251251251E1;-9,641965492E0;3,028381872E0;3,750000000E2;OUT;
1,254587921E1;-9,641965492E0;2,977719468E0;3,760000000E2;OUT;
1,257924591E1;-9,743290299E0;2,825732258E0;3,770000000E2;OUT;
1,261261261E1;-9,844615106E0;2,724407451E0;3,780000000E2;OUT;
1,264597931E1;-9,945939913E0;2,572420240E0;3,790000000E2;OUT;
1,267934601E1;-9,945939913E0;2,572420240E0;3,800000000E2;OUT;
1,271271271E1;-9,945939913E0;2,521757837E0;3,810000000E2;OUT;
1,274607941E1;-9,945939913E0;2,521757837E0;3,820000000E2;OUT;
1,277944611E1;-9,945939913E0;2,521757837E0;3,830000000E2;OUT;
1,281281281E1;-9,945939913E0;2,521757837E0;3,840000000E2;OUT;
1,284617951E1;-9,945939913E0;2,521757837E0;3,850000000E2;OUT;
1,287954621E1;-9,945939913E0;2,521757837E0;3,860000000E2;OUT;
1,291291291E1;-9,945939913E0;2,521757837E0;3,870000000E2;OUT;
1,294627961E1;-9,945939913E0;2,521757837E0;3,880000000E2;OUT;
1,297964631E1;-9,945939913E0;2,521757837E0;3,890000000E2;OUT;
1,301301301E1;-9,945939913E0;2,521757837E0;3,900000000E2;OUT;
1,304637971E1;-9,945939913E0;2,521757837E0;3,910000000E2;OUT;
1,307974641E1;-9,945939913E0;2,521757837E0;3,920000000E2;OUT;
1,311311311E1;-9,945939913E0;2,521757837E0;3,930000000E2;OUT;
1,314647981E1;-9,945939913E0;2,521757837E0;3,940000000E2;OUT;
1,317984651E1;-9,945939913E0;2,521757837E0;3,950000000E2;OUT;
1,321321321E1;-9,945939913E0;2,521757837E0;3,960000000E2;OUT;
1,324657991E1;-9,945939913E0;2,521757837E0;3,970000000E2;OUT;
1,327994661E1;-9,945939913E0;2,521757837E0;3,980000000E2;OUT;
1,331331331E1;-9,996602317E0;2,673745047E0;3,990000000E2;OUT;
1,334668001E1;-9,996602317E0;2,673745047E0;4,000000000E2;OUT;
1,338004671E1;-9,945939913E0;2,673745047E0;4,010000000E2;OUT;
1,341341341E1;-9,945939913E0;2,673745047E0;4,020000000E2;OUT;
1,344678011E1;-9,945939913E0;2,623082644E0;4,030000000E2;OUT;
1,348014681E1;-9,945939913E0;2,572420240E0;4,040000000E2;OUT;
1,351351351E1;-9,945939913E0;2,572420240E0;4,050000000E2;OUT;
1,354688021E1;-9,895277510E0;3,535005907E0;4,060000000E2;OUT;
1,358024691E1;-9,844615106E0;4,345604363E0;4,070000000E2;OUT;
1,361361361E1;-9,844615106E0;4,345604363E0;4,080000000E2;OUT;
1,364698031E1;-9,895277510E0;4,548253977E0;4,090000000E2;OUT;
1,368034701E1;-9,895277510E0;4,598916380E0;4,100000000E2;OUT;
1,371371371E1;-1,085786318E1;5,662826854E0;4,110000000E2;OUT;
1,374708041E1;-1,151647442E1;6,422762906E0;4,120000000E2;OUT;
1,378044711E1;-1,293502172E1;7,486673380E0;4,130000000E2;OUT;
1,381381381E1;-1,531615468E1;8,246609432E0;4,140000000E2;OUT;
1,384718051E1;-1,784837733E1;8,910880817E0;4,150000000E2;OUT;
1,388054721E1;-2,282456245E1;9,485056024E0;4,160000000E2;OUT;
